unlock_station_name;geolocation_unlock
104 - Castellana;{'type': 'Point', 'coordinates': [-3.68958, 40.42677]}
23 - Santo Domingo;{'type': 'Point', 'coordinates': [-3.7081246, 40.4202834]}
227 - Concordia;{'type': 'Point', 'coordinates': [-3.6659362429356372, 40.39382977920336]}
164 - Paseo de las Delicias;{'type': 'Point', 'coordinates': [-3.6945025, 40.3972616]}
5 - Fuencarral;{'type': 'Point', 'coordinates': [-3.70205, 40.42852]}
2 - Miguel Moya;{'type': 'Point', 'coordinates': [-3.7058415, 40.4205886]}
129 - José Abascal;{'type': 'Point', 'coordinates': [-3.6982353, 40.4383865]}
25b - Plaza de Celenque B;{'type': 'Point', 'coordinates': [-3.7063837, 40.4172781]}
207 - Remonta;{'type': 'Point', 'coordinates': [-3.6973333, 40.4630277]}
239 - Francos Rodríguez;{'type': 'Point', 'coordinates': [-3.708002730875242, 40.45673408797698]}
169 - Pirámides;{'type': 'Point', 'coordinates': [-3.7138055, 40.4016111]}
244 - Hospital Clínico;{'type': 'Point', 'coordinates': [-3.71757, 40.44003]}
208 - Plaza de Castilla;{'type': 'Point', 'coordinates': [-3.6886388, 40.4663611]}
161 - Paseo de la Florida;{'type': 'Point', 'coordinates': [-3.7224983, 40.4219665]}
222 - Antonio López;{'type': 'Point', 'coordinates': [-3.7026789, 40.3917871]}
111b - Arcipreste de Hita B;{'type': 'Point', 'coordinates': [-3.7179687, 40.4341006]}
15 - San Vicente Ferrer;{'type': 'Point', 'coordinates': [-3.7074453, 40.4262383]}
189 - Avenida Donostiarra;{'type': 'Point', 'coordinates': [-3.6554918, 40.4351256]}
173 - Puente Praga;{'type': 'Point', 'coordinates': [-3.7023918, 40.3981798]}
200 - Quevedo;{'type': 'Point', 'coordinates': [-3.7046666, 40.4336944]}
47 - Embajadores 1;{'type': 'Point', 'coordinates': [-3.7028265, 40.4047851]}
225 - Doctor Lozano;{'type': 'Point', 'coordinates': [-3.660188083470652, 40.40248333540473]}
201 - Canal;{'type': 'Point', 'coordinates': [-3.7038333, 40.4386944]}
232 - José María Pereda;{'type': 'Point', 'coordinates': [-3.6485306152875148, 40.43272086245887]}
235 - Embajadores 191;{'type': 'Point', 'coordinates': [-3.6903589643353483, 40.389258643579105]}
76 - Puerta de Mariano de Cavia;{'type': 'Point', 'coordinates': [-3.6751352, 40.4071304]}
243 - Cartagena;{'type': 'Point', 'coordinates': [-3.67012, 40.43503]}
183 - Doctor Esquerdo-Hermosilla;{'type': 'Point', 'coordinates': [-3.669339, 40.425635]}
192 - Avenida de los Toreros;{'type': 'Point', 'coordinates': [-3.6714166, 40.4318611]}
83 - Pío Baroja;{'type': 'Point', 'coordinates': [-3.6745323, 40.4132995]}
233 - Marqués de Corbera 12;{'type': 'Point', 'coordinates': [-3.6555552857442697, 40.422962108947424]}
182 - Parque Roma;{'type': 'Point', 'coordinates': [-3.6657777, 40.4186666]}
190 - Velázquez-Diego de León;{'type': 'Point', 'coordinates': [-3.6835833, 40.4343333]}
229 - C.D. Concepción;{'type': 'Point', 'coordinates': [-3.64835857929032, 40.43715089959262]}
162 - Metro Pirámides;{'type': 'Point', 'coordinates': [-3.7108108, 40.4034076]}
37 - Plaza de San Francisco;{'type': 'Point', 'coordinates': [-3.714113, 40.4108]}
175 - Jaime el Conquistador;{'type': 'Point', 'coordinates': [-3.6983055, 40.3962222]}
72 - Sainz de Baranda;{'type': 'Point', 'coordinates': [-3.6691838, 40.4157413]}
128 - Cea Bermúdez;{'type': 'Point', 'coordinates': [-3.7154329, 40.438994]}
178 - Junta Municipal Retiro;{'type': 'Point', 'coordinates': [-3.6788343, 40.4029202]}
213 - Glorieta de Cádiz;{'type': 'Point', 'coordinates': [-3.70017, 40.38895]}
126 - General Álvarez de Castro;{'type': 'Point', 'coordinates': [-3.7015686, 40.4344731]}
167 - Segovia 45;{'type': 'Point', 'coordinates': [-3.717487, 40.413736]}
8 - Alonso Martínez;{'type': 'Point', 'coordinates': [-3.6954403, 40.4278682]}
177 - Legazpi;{'type': 'Point', 'coordinates': [-3.6941944, 40.3914722]}
234 - Marqués de Corbera 52;{'type': 'Point', 'coordinates': [-3.651034981803642, 40.426207143200884]}
215 - Gutierre de Cetina;{'type': 'Point', 'coordinates': [-3.640994, 40.429706]}
204 - Cuatro Caminos 2;{'type': 'Point', 'coordinates': [-3.7041666, 40.4476666]}
218 - Camino Vinateros;{'type': 'Point', 'coordinates': [-3.65779, 40.41053]}
99 - Alcántara;{'type': 'Point', 'coordinates': [-3.6738714, 40.4261851]}
101 - Jorge Juan;{'type': 'Point', 'coordinates': [-3.6691524, 40.4231526]}
188 - Puente de Ventas;{'type': 'Point', 'coordinates': [-3.6590555, 40.4311944]}
